Gender;Continent;Country;Sport;1_N_Total_Teams;1_N_Teams_Animals
Men;Americas;Puerto Rico;Rugby XIII;NA;NA
Men;Americas;Ecuador;Rugby XIII;NA;NA
Men;Asia;China;Rugby XIII;;
Men;Asia;Japan;Rugby XIII;NA;NA
Men;Asia;India;Rugby XIII;NA;NA
Men;Asia;Iran, Islamic Republic of;Rugby XIII;NA;NA
Men;Asia;Korea, Republic of;Rugby XIII;NA;NA
Men;Asia;Indonesia;Rugby XIII;NA;NA
Men;Asia;Saudi Arabia;Rugby XIII;NA;NA
Men;Asia;Turkey;Rugby XIII;NA;NA
Men;Asia;Thailand;Rugby XIII;NA;NA
Men;Asia;Israel;Rugby XIII;NA;NA
Men;Europe;Germany;Rugby XIII;NA;NA
Men;Europe;United Kingdom;Rugby XIII;12;5
Men;Europe;France;Rugby XIII;10;6
Men;Europe;Russian Federation;Rugby XIII;NA;NA
Men;Europe;Italy;Rugby XIII;NA;NA
Men;Europe;Spain;Rugby XIII;NA;NA
Men;Europe;Netherlands;Rugby XIII;NA;NA
Men;Europe;Switzerland;Rugby XIII;NA;NA
Men;Europe;Poland;Rugby XIII;NA;NA
Men;Europe;Sweden;Rugby XIII;NA;NA
Men;Oceania;Australia;Rugby XIII;17;10
Men;Oceania;New Zealand;Rugby XIII;NA;NA
Men;Oceania;Papua New Guinea;Rugby XIII;NA;NA
Men;Oceania;New Caledonia;Rugby XIII;NA;NA
Men;Oceania;Guam;Rugby XIII;NA;NA
Men;Oceania;French Polynesia;Rugby XIII;NA;NA
Men;Oceania;Fiji;Rugby XIII;NA;NA
Men;Oceania;Solomon Island;Rugby XIII;NA;NA
Men;Oceania;Northern Mariana Islands;Rugby XIII;NA;NA
Men;Oceania;Vanuatu;Rugby XIII;NA;NA
Men;Africa;Nigeria;Handball;NA;NA
Men;Africa;Egypt;Handball;18;2
Men;Africa;South Africa;Handball;NA;NA
Men;Africa;Algeria;Handball;NA;NA
Men;Africa;Morocco;Handball;NA;NA
Men;Africa;Angola;Handball;NA;NA
Men;Africa;Kenya;Handball;NA;NA
Men;Africa;Ethiopia;Handball;NA;NA
Men;Africa;Tanzania, United Republic of;Handball;NA;NA
Men;Africa;Ghana;Handball;NA;NA
Men;Americas;United States;Handball;NA;NA
Men;Americas;Canada;Handball;NA;NA
Men;Americas;Brazil;Handball;13;2
Men;Americas;Mexico;Handball;NA;NA
Men;Americas;Argentina;Handball;NA;NA
Men;Americas;Colombia;Handball;NA;NA
Men;Americas;Chile;Handball;NA;NA
Men;Americas;Peru;Handball;NA;NA
Men;Americas;Puerto Rico;Handball;NA;NA
Men;Americas;Ecuador;Handball;NA;NA
Men;Asia;China;Handball;NA;NA
Men;Asia;Japan;Handball;NA;NA
Men;Asia;India;Handball;NA;NA
Men;Asia;Iran, Islamic Republic of;Handball;NA;NA
Men;Asia;Korea, Republic of;Handball;NA;NA
Men;Asia;Indonesia;Handball;NA;NA
Men;Asia;Saudi Arabia;Handball;NA;NA
Men;Asia;Turkey;Handball;12;1
Men;Asia;Thailand;Handball;NA;NA
Men;Asia;Israel;Handball;NA;NA
Men;Europe;Germany;Handball;18;5
Men;Europe;United Kingdom;Handball;NA;NA
Men;Europe;France;Handball;16;4
Men;Europe;Russian Federation;Handball;12;2
Men;Europe;Italy;Handball;NA;NA
Men;Europe;Spain;Handball;16;2
Men;Europe;Netherlands;Handball;NA;NA
Men;Europe;Switzerland;Handball;10;2
Men;Europe;Poland;Handball;14;0
Men;Europe;Sweden;Handball;14;0
Men;Oceania;Australia;Handball;NA;NA
Men;Oceania;New Zealand;Handball;NA;NA
Men;Oceania;Papua New Guinea;Handball;NA;NA
Men;Oceania;New Caledonia;Handball;NA;NA
Men;Oceania;Guam;Handball;NA;NA
Men;Oceania;French Polynesia;Handball;NA;NA
Men;Oceania;Fiji;Handball;NA;NA
Men;Oceania;Solomon Island;Handball;NA;NA
Men;Oceania;Northern Mariana Islands;Handball;NA;NA
Men;Oceania;Vanuatu;Handball;NA;NA
Men;Africa;Nigeria;Ice Hockey;NA;NA
Men;Africa;Egypt;Ice Hockey;NA;NA
Men;Africa;South Africa;Ice Hockey;NA;NA
Men;Africa;Algeria;Ice Hockey;NA;NA
Men;Africa;Morocco;Ice Hockey;NA;NA
Men;Africa;Angola;Ice Hockey;NA;NA
Men;Africa;Kenya;Ice Hockey;NA;NA
Men;Africa;Ethiopia;Ice Hockey;NA;NA
Men;Africa;Tanzania, United Republic of;Ice Hockey;NA;NA
Men;Africa;Ghana;Ice Hockey;NA;NA
Men;Americas;United States;Ice Hockey;25;8
Men;Americas;Canada;Ice Hockey;7;1
Men;Americas;Brazil;Ice Hockey;NA;NA
Men;Americas;Mexico;Ice Hockey;NA;NA
Men;Americas;Argentina;Ice Hockey;NA;NA
Men;Americas;Colombia;Ice Hockey;NA;NA
Men;Americas;Chile;Ice Hockey;NA;NA
Men;Americas;Peru;Ice Hockey;NA;NA
Men;Americas;Puerto Rico;Ice Hockey;NA;NA
Men;Americas;Ecuador;Ice Hockey;NA;NA
Men;Asia;China;Ice Hockey;1;0
Men;Asia;Japan;Ice Hockey;5;3
Men;Asia;India;Ice Hockey;NA;NA
Men;Asia;Iran, Islamic Republic of;Ice Hockey;NA;NA
Men;Asia;Korea, Republic of;Ice Hockey;1;1
Men;Asia;Indonesia;Ice Hockey;NA;NA
Men;Asia;Saudi Arabia;Ice Hockey;NA;NA
Men;Asia;Turkey;Ice Hockey;6;0
Men;Asia;Thailand;Ice Hockey;NA;NA
Men;Asia;Israel;Ice Hockey;NA;NA
Men;Europe;Germany;Ice Hockey;15;13
Men;Europe;United Kingdom;Ice Hockey;10;1
Men;Europe;France;Ice Hockey;12;6
Men;Europe;Russian Federation;Ice Hockey;19;11
Men;Europe;Italy;Ice Hockey;7;4
Men;Europe;Spain;Ice Hockey;NA;NA
Men;Europe;Netherlands;Ice Hockey;3;1
Men;Europe;Switzerland;Ice Hockey;14;5
Men;Europe;Poland;Ice Hockey;9;0
Men;Europe;Sweden;Ice Hockey;14;4
Men;Oceania;Australia;Ice Hockey;3;0
Men;Oceania;New Zealand;Ice Hockey;NA;NA
Men;Oceania;Papua New Guinea;Ice Hockey;NA;NA
Men;Oceania;New Caledonia;Ice Hockey;NA;NA
Men;Oceania;Guam;Ice Hockey;NA;NA
Men;Oceania;French Polynesia;Ice Hockey;NA;NA
Men;Oceania;Fiji;Ice Hockey;NA;NA
Men;Oceania;Solomon Island;Ice Hockey;NA;NA
Men;Oceania;Northern Mariana Islands;Ice Hockey;NA;NA
Men;Oceania;Vanuatu;Ice Hockey;NA;NA
Women;Africa;Nigeria;Football;NA;NA
Women;Africa;Egypt;Football;NA;NA
Women;Africa;South Africa;Football;NA;NA
Women;Africa;Algeria;Football;NA;NA
Women;Africa;Morocco;Football;14;2
Women;Africa;Angola;Football;NA;NA
Women;Africa;Kenya;Football;NA;NA
Women;Africa;Ethiopia;Football;NA;NA
Women;Africa;Tanzania, United Republic of;Football;NA;NA
Women;Africa;Ghana;Football;NA;NA
Women;Americas;United States;Football;12;2
Women;Americas;Canada;Football;NA;NA
Women;Americas;Brazil;Football;16;2
Women;Americas;Mexico;Football;18;8
Women;Americas;Argentina;Football;NA;NA
Women;Americas;Colombia;Football;17;4
Women;Americas;Chile;Football;14;5
Women;Americas;Peru;Football;14;3
Women;Americas;Puerto Rico;Football;NA;NA
Women;Americas;Ecuador;Football;NA;NA
Women;Asia;China;Football;10;3
Women;Asia;Japan;Football;11;6
Women;Asia;India;Football;16;0
Women;Asia;Iran, Islamic Republic of;Football;NA;NA
Women;Asia;Korea, Republic of;Football;NA;NA
Women;Asia;Indonesia;Football;NA;NA
Women;Asia;Saudi Arabia;Football;NA;NA
